brand,model,year,adid
Speranza,Tiggo,2022,196354729
Fiat,Tipo,2021,196452723
Opel,Astra,2013,195678363
Renault,Fluence,2016,196453051
Chery,Tiggo,2023,196419747
Toyota,Rav 4,2008,195387906
Opel,Crossland,2018,196444434
Jeep,Grand Cherokee,2019,196446334
Land Rover,Range Rover Sport,2020,196453071
Nissan,Sunny,2022,196453254
MINI,Cooper s,2008,196038810
Nissan,Sunny,2020,196446018
Porsche,Other,2023,196443828
Mercedes-Benz,E280,2007,196444015
Kia,Soul,2015,196443998
BMW,340,2019,196345622
Peugeot,307 SW,2006,196442038
MG,MG 5,2022,196444418
Jeep,Cherokee,2008,196444532
Kia,Cerato Coupe,2011,196444619
BMW,520,2021,196444824
Renault,Duster,2016,196444998
Skoda,Superb,2022,196445327
Mitsubishi,Lancer,2008,196346352
Hyundai,Elantra,2015,196443174
Nissan,Sunny,2019,196445713
Toyota,Corolla,2014,196445685
Skoda,Octavia,2021,196445271
BMW,318,2016,196445663
Fiat,500X,2020,196329131
Nissan,Qashqai,2020,196441754
Toyota,Yaris,2015,196346735
Chrysler,PT Cruiser,2006,196439866
Geely,Emgrand 7,2015,196445784
Speranza,A113,2013,196442592
Nissan,Sunny,2019,196342222
Seat,Toledo,2000,196438088
Volkswagen,Passat,2009,196437995
Renault,Duster,2019,196407323
Mercedes-Benz,GLA 200,2021,196439708
Chevrolet,Optra,2023,195728178
Suzuki,Ciaz,2022,196439772
Jeep,Renegade,2017,196439487
Chrysler,C300,2006,196438629
Ford,Fusion,2021,196440393
Seat,Leon,2022,196443037
Land Rover,Range Rover Sport,2022,196345792
BMW,X5,2018,195964821
Renault,Logan,2021,196440556
Mercedes-Benz,E250,2011,196340575
Kia,Cerato,2021,196341388
Hyundai,Accent,2013,196440800
BYD,F3,2017,196441036
Jeep,Grand Cherokee,2017,196441259
Mitsubishi,Lancer,2016,196441380
Fiat,Grand Punto,2010,196440593
Kia,Soul,2013,196441050
Opel,Insignia,2018,196429757
Mercedes-Benz,CLA 200,2020,196429535
Chevrolet,Pickup/Dababa,2019,196429173
Chery,Tiggo,2022,196430440
Renault,Logan,2020,196330465
Alfa Romeo,Giulietta,2021,196430492
Seat,Tarraco,2021,196329856
Speranza,M11,2012,196330374
Mitsubishi,Lancer,2016,196330515
BMW,630,2006,196331768
Speranza,A113,2011,196417018
Hyundai,Elantra,2015,196330681
Audi,A5,2018,196431299
Hyundai,Accent,2020,196430891
Skoda,Octavia,2012,196429665
Proton,Waja,2006,196431446
Nissan,Sunny,2018,195762720
Honda,Civic,2013,196425832
MG,ZS,2020,196433002
MG,MG 5,2022,196432970
Kia,Cerato,2021,196432850
Mercedes-Benz,CLA 180,2015,196434693
MG,6,2022,196435017
Skoda,Octavia,2021,196335673
Chevrolet,Malibu,2019,196435428
Mercedes-Benz,E300,2020,196434751
Mercedes-Benz,E200,2014,196435460
Toyota,Fortuner,2016,196435905
Citroen,C5,2020,196393167
Mercedes-Benz,E250,2010,196436434
Hyundai,Elantra,2016,196425397
Mercedes-Benz,CLA 200,2020,196436679
Mercedes-Benz,E300,2020,196436820
Jeep,Wrangler,2010,196428910
Hyundai,Elantra,2021,196428929
Mercedes-Benz,A200,2019,196425507
Peugeot,508,2015,178709747
Skoda,Karoq,2020,196415760
Chevrolet,Other,2020,196426101
Hyundai,Verna,2013,196426419
Hyundai,Matrix,2008,194459764
Changan,Alsvin,2022,196426559
Jeep,Cherokee,2022,196204647
Renault,Megane,2022,195208911
Daihatsu,Materia,2007,196426243
Peugeot,607,2001,196434216
Opel,Crossland,2021,196427037
Renault,Kadjar,2021,196426843
Opel,Crossland,2020,196426960
Mercedes-Benz,GLK 300,2010,196427022
Jetour,X95,2022,196427250
Chevrolet,Aveo,2009,196427196
Mitsubishi,Pickup,2007,184774301
Daewoo,Lanos,2000,196427575
Mercedes-Benz,A200,2021,196427180
Opel,Astra,2020,196427523
Audi,Q7,2021,196322498
BYD,F3,2019,196427820
